office,district,votefor,candidate,party,votes,type,winner
US SENATOR, ,1,TIM GIRARD, ,1,Write-in,False
US SENATOR, ,1,TODD RUTTURA, ,1,Write-in,False
US SENATOR, ,1,BERNIE SANDERS, ,1,Write-in,False
US SENATOR, ,1,JOE DAIGNEAULT, ,1,Write-in,False
US SENATOR, ,1,CHARLES B. HOWE, ,1,Write-in,False
US SENATOR, ,1,SHAPLEIGH SMITH JR., ,1,Write-in,False
US SENATOR, ,1,PETER TRIPP, ,1,Write-in,False
US SENATOR, ,1,BILL LEE, ,1,Write-in,False
US SENATOR, ,1,JIM DOUGLAS, ,1,Write-in,False
US SENATOR, ,1,MATT IDOL, ,1,Write-in,False
US SENATOR, ,1,BRENT BECK, ,1,Write-in,False
US SENATOR, ,1,RON PAUL, ,1,Write-in,False
US SENATOR, ,1,ETHAN MACNAUGHTON, ,1,Write-in,False
US SENATOR, ,1,MIKE KELL, ,2,Write-in,False
US SENATOR, ,1,WAYNE TOWNSEND, ,1,Write-in,False
US SENATOR, ,1,BRYAN BAILEY, ,0,Write-in,False
US SENATOR, ,1,COLIN MCKAIG, ,1,Write-in,False
US SENATOR, ,1,TYLER COLFORD, ,1,Write-in,False
US SENATOR, ,1,SUSAN HATCH DAVIS, ,1,Write-in,False
US SENATOR, ,1,BERNIE SANDERS, ,1,Write-in,False
US SENATOR, ,1,CHRIS ERICKSON, ,1,Write-in,False
US SENATOR, ,1,ERIC SALTONSTALL, ,1,Write-in,False
US SENATOR, ,1,LAWRENCE, ,1,Write-in,False
US SENATOR, ,1,PAT BUCHANAN, ,1,Write-in,False
US SENATOR, ,1,JOHN GALT, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,CRIS ERICSON,INDEPENDENT,9084,Registered,False
REPRESENTATIVE TO CONGRESS, ,1,LAURA S. POTTER,LIBERTY UNION,3912,Registered,False
REPRESENTATIVE TO CONGRESS, ,1,ANYA TYNIO,REPUBLICAN,70698,Registered,False
REPRESENTATIVE TO CONGRESS, ,1,PETER WELCH,DEMOCRATIC,188505,Registered,False
REPRESENTATIVE TO CONGRESS, ,1,BILLY KEATON, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BOB NELSON, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,CHRIS BRADLEY, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,TOM LAUZON, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BRIAN CAMPION, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DAN FREILICH, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,KIAH MORRIS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,H BROOKE PAIGE, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,MIKE ENMAN, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BEN WRIGHT, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,WAYNE ESTEY, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,TRAVIS MOULTON, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,SHAWN EVEHART, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DOUG RACINE, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,AMY BROSIUS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,RODNEY GRAHAM, ,1,Write-in,False
