office,district,votefor,candidate,party,votes,type,winner
STATE SENATOR,WINDSOR SENATE,3,RANDY A. GRAY,REPUBLICAN,9450,Registered,False
STATE SENATOR,WINDSOR SENATE,3,"RICHARD ""DICK"" MCCORMACK",DEM/PROG,17349,Registered,False
STATE SENATOR,WINDSOR SENATE,3,ALICE W. NITKA,DEMOCRATIC,18217,Registered,False
STATE SENATOR,WINDSOR SENATE,3,WAYNE D. TOWNSEND,REPUBLICAN,8763,Registered,False
STATE SENATOR,WINDSOR SENATE,3,MASON WADE,INDEPENDENT,2599,Registered,False
STATE SENATOR,WINDSOR SENATE,3,JACK WILLIAMS,REPUBLICAN,8242,Registered,False
STATE SENATOR,WINDSOR SENATE,3,CLARK HUNT, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,LISA WARHOL, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,CONER KENNEDY, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,KEITH HILL, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,CHERYL HOOKER, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,DAVID CORRIVEAU, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,GREG COY, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,SCOTT GARREN, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,MIKE PHILLIPS, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,GREG COX, ,3,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,JASON SEIPLE, ,2,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,"CANDON, TOM", ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,B. JANE CALLAHAN, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,JOHN DUFFY, ,0,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,JOHN POLAND, ,0,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,SANDY EL HAGE, ,0,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,WALTER HASTINGS, ,0,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,STEVE COCCI, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,TRUDY BROCK, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,ASHLEY HENSEL-BROWNING, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,MIKE KELL, ,3,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,MIKE STANKEVICH, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,STEVE HIER, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,CATHY ARCHIBALD, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,COLIN MCKAIG, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,ERIC SALTONSTALL, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,MARTHA DAVIS, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,PAUL BELASKI, ,1,Write-in,False
STATE SENATOR,WINDSOR SENATE,3,TED WHITE, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,ROBIN SCHEU,DEMOCRATIC,2592,Registered,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,AMY SHELDON,DEM/PROG,2677,Registered,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,BEN WOOD, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,BRENT SOUTHERLAND, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,BRIAN BAUER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,CHRIS HAMMOND, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,DAN WERNER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,DANA ROARK, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,DEAN GEORGE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,DEAN GEORGE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,DOUG TOLLES, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,ERIC BORG, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,ERIC MEYER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,ERIC MURRAY, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,FARHAD KHAN, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,GARY BAKER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,GARY RYAN, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,GENE KRAUSE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,HENRY BENNETT, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JAMES DOUGLAS, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JEFF MORSE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JEN DAVIS, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JOHN SCHMITT, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JOHN SCHULTZ, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,JOHN TENNY, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,KEITH KRAUSE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,KEVIN NEWTON, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,LEON H SMITH, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,LINDA QUINN, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,LUCAS MURRAY, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,MARIE LESTA, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,MARK FOSTER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,MICHAEL CORBETT, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,PETER CONLON, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,PETER NORRIS, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,PETER SCOTT, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,REBECCA WEST, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,RUTH HARDY, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,SCOT BARKER, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,SETH WRIGHT, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,STEVE WILSON, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,TERRY NORRIS, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,THOMAS HUGHES, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,TOM VANACORE, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 1 REP,2,VALERIE MULLIN, ,0,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,PETER CONLON,DEMOCRATIC,1740,Registered,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,DAVE VAN VLECK, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,JUSTIN BRANDE, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,KEN MANCHESTER, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,LEO AUDET, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,SUE JOHNSON, ,3,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,KEN BROWN, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,SETH HOPKINS, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,WILL MATHIS, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,GOLDIE WILSON, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,HARVEY T. SMITH, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,JOHN ISAACSON, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,RALPH NADER, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 2 REP,1,PATRICK SALOMON, ,2,Write-in,False
STATE REPRESENTATIVE,ADDISON 3 REP,2,MATT BIRONG,DEMOCRATIC,2201,Registered,False
STATE REPRESENTATIVE,ADDISON 3 REP,2,DIANE LANPHER,DEMOCRATIC,2122,Registered,False
STATE REPRESENTATIVE,ADDISON 3 REP,2,WARREN VAN WYCK,REPUBLICAN,1763,Registered,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,FRED K. BASER,REPUBLICAN,2018,Registered,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,MARI CORDES,DEM/PROG,2077,Registered,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,CALEB ELDER,DEMOCRATIC,2278,Registered,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,VALERIE MULLIN,REPUBLICAN,1466,Registered,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,ROBERT DEMIC, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,TYLER ROSSIER, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,MARK FISHER, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 4 REP,2,PAUL VICHI, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON 5 REP,1,HARVEY T. SMITH,REPUBLICAN,1505,Registered,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,TERRY NORRIS,INDEPENDENT,1009,Registered,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,BARBARA WILSON,DEMOCRATIC,735,Registered,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,HOWARD BOWEN, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,MIKE AUDET, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,JIM DOUGLAS, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,JOHNSON, ,1,Write-in,False
STATE REPRESENTATIVE,ADDISON-RUTLAND REP,1,HARVY T SMITH, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,NELSON BROWNELL,DEMOCRATIC,681,Registered,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,FREDERICK MILLER,INDEPENDENT,364,Registered,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,JIM O'CONNOR,REPUBLICAN,394,Registered,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,JACKIE SEDLOCK, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,JENNIFER DEWAR, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,JULIE WEBER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 1 REP,1,PAULINE GUNTLOW, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,CHRIS BATES,DEMOCRATIC,1328,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,TIMOTHY R. CORCORAN II,DEMOCRATIC,1733,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,KEVIN HOYT,REPUBLICAN,703,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,MICHAEL STERN,INDEPENDENT,400,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,BRIAN CAMPION, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,CHRIS DAMON, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,CODY CROSSMAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,GEOFF METCALFE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,JAMES JEROME, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,JIM CARROLL, ,3,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,KIAH MORRIS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,LAWRENCE HARRINGTON, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,LAWRENCE ZUPAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,MARY MORRISSEY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,PETER BRADY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,SUSAN SGORBATI, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-1 REP,2,VICKI LAMPRON, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,JIM CARROLL,DEMOCRATIC,1559,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,MARY A. MORRISSEY,REP/DEM,1810,Registered,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,AARON SAWYER, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,BOBBY BABSON , ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,BROOKE DREW, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,CHRIS BATES, ,3,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,CHRIS KOZIOL, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,CHRIS OLDHAM, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,CRAIG DUPEE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,DAVID SHAFFE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,GOERGE SCHMIDT, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,JEANNE JENKINS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,JIM SULLIVAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,JOHN BESHARA, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,JUSTIN WOODIE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,KEVIN HOYT, ,10,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,KIAH MORRIS, ,21,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,LAWRENCE ZUPAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,LODIZA LEPORE, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,MATT MARONEY, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,MIAKODA SCHULTZ, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,MICHAEL STERN, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,PETER BRADY, ,3,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,SHANE MCNEAL, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,SHAWN PRATT, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,TIM CORCORAN II, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,TOM JACOBS, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 2-2 REP,2,WILLIAM MYERS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,DAVID K. DURFEE,DEMOCRATIC,1394,Registered,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,ACE FREELY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,ALICE MILLER, ,3,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,BILL MARTIN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,BOBBY BODA, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,BRAD PEACOCK, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,ERIC SENACAL, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,FRANK KINNEY, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,GARY BURGESS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,JEFF KAUFER, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,JEFF KAUFER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,JIM WHITE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,JUNIOR HARWOOD, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,KEN HARRINGTON, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,KEVIN HOYT, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,LAWRENCE ZUPAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,LINDA BURNHAM, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,MARY MORRISSEY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,MITCHELL SAUSVILLE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,RICHARD KLIEN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,ROGER SHERMAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,SAM STILLMAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,SCOTT HUTTON, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,TIM JONES, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,TIM SCOGGINS, ,4,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,TREVOR MANCE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 3 REP,1,KATHLEEN JAMES, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,CYNTHIA BROWNING,DEM/REP,1938,Registered,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,KATHLEEN JAMES,DEMOCRATIC,2129,Registered,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,BRIAN KEEFE,REPUBLICAN,1731,Registered,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,AL FAXON, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,GERALD WOODARD, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,MARY MORRISSEY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,ROBERT STANNARD, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,VIVIAN LACY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,, ,1,Registered,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,BERNIE SANDERS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,CHRIS BATES, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,DAVID KILBURN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,JENNIFER G THUERMER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,KEVIN WALLA, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,LAWRENCE ZUPAN, ,4,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,LINDA JOY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,NANCY REVO, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,TIMOTHY COCHRANE II, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,DESIREE MORIN, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,DONALD DUCK, ,3,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,J.D. MARTINEZ, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON 4 REP,2,MOOKIE BETTS, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,LINDA JOY SULLIVAN,DEM/REP,1699,Registered,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,A. E. NEWAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,C. ZECHER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,D. WHITE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,E. CLEVELAND, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,R. TANGERMAN, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,RYAN YODER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,BRIAN KEEFE, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,JIM SMITH, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,KATHLEEN JAMES, ,2,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,KYLE ZECHER, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,MARTHA FRAWLEY, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,MITCH MORGAN, ,1,Write-in,False
STATE REPRESENTATIVE,BENNINGTON-RUTLAND REP,1,TIM BURKE, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,MARCIA ROBINSON MARTEL,REPUBLICAN,1397,Registered,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,ELAINE ROBINSON, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,FRED SAAR, ,2,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,GARY ALLARD, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,HATCHER D'AGOSTINO, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,JAN SHEPMAN, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,JEN D'AGOSTINO, ,4,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,KATE PIPER, ,2,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,LARRY BARRETT, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,MAUREEN LYON, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,PAUL AMEY, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,TIM YARROW, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,WALTER GOODELL, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-1 REP,1,WARREN VANWYEK, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-2 REP,1,LAWRENCE W. HAMEL,REPUBLICAN,677,Registered,False
STATE REPRESENTATIVE,CALEDONIA-2 REP,1,CHIP TROIANO,DEMOCRATIC,988,Registered,False
STATE REPRESENTATIVE,CALEDONIA-2 REP,1,LUKE GARGULIO, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-3 REP,2,SCOTT BECK,REPUBLICAN,1297,Registered,False
STATE REPRESENTATIVE,CALEDONIA-3 REP,2,SCOTT CAMPBELL,DEMOCRATIC,1183,Registered,False
STATE REPRESENTATIVE,CALEDONIA-3 REP,2,BRENDAN HUGHES,REPUBLICAN,1077,Registered,False
STATE REPRESENTATIVE,CALEDONIA-3 REP,2,JANE POMPEO,DEMOCRATIC,959,Registered,False
STATE REPRESENTATIVE,CALEDONIA-3 REP,2,DAVID JONES, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,"MARTHA ""MARTY"" FELTUS",REPUBLICAN,1633,Registered,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,DENNIS LABOUNTY,DEMOCRATIC,1266,Registered,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,PATRICK SEYMOUR,REPUBLICAN,1375,Registered,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,CHRISTIAN HUBBS, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,JENNIFER BARONE, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,LINDSEY SCELZA, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,BENJAMIN ROBBINS, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,BENJAMIN ROBBINS, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,CATHERINE TOLL, ,2,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,DON HOWLAND, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,ETHAN SOHNEBORN, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,GORHAM, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,JENE LABOUNTY, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,MARY MARCEAU, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,REED GARFIELD, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,ROBYN JACOB, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,RONALD E AIKEN JR, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-4 REP,2,TYLER LYONS, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,"CATHERINE ""KITTY"" TOLL",DEMOCRATIC,1842,Registered,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,BARRY CAHOON, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,BRANDON STROUP, ,2,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,CHRIS VANCE, ,1,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,CRAIG VANCE, ,10,Write-in,False
STATE REPRESENTATIVE,CALEDONIA-WASHINGTON REP,1,DAVE SARGENT, ,1,Write-in,False
